"code","name","day","unitNetWorth","dayOfGrowth","recent1Week","recent3Month","recent6Month","recent1Year","recent2Year","recent3Year","fromThisYear","fromBuild","serviceCharge"
"952013","国君君得益三个月(FOF)A",,"1.4284","0.56","1.33","","","","","","","2.00",""
"010735","申万稳健养老一年持有混合发起式(FOF)",,"","","","","","","","","","",""
"010643","平安养老2025一年持有期混合(FOF)",,"","","","","","","","","","",""
"010323","华安平衡养老三年持有(FOF)",,"1.0003","","0.02","","","","","","","0.03",""
"010267","兴全安泰养老五年持有混合(FOF)",,"1.0000","","","","","","","","","0.00",""
"010266","兴全安泰稳健养老一年持有混合(FOF)",,"0.9992","","-0.21","","","","","","","-0.08",""
"010193","农银养老2045五年持有混合(FOF)",,"0.9984","0.08","0.29","","","","","","","-0.16",""
"010047","博时金福安一年持有混合(FOF)C",,"1.0264","0.12","0.40","2.39","","","","","","2.64",""
"010046","博时金福安一年持有混合(FOF)A",,"1.0275","0.12","0.40","2.49","","","","","","2.75",""
"009884","民生加银康宁平衡养老目标三年持有混合(FOF)",,"1.0279","0.51","1.31","2.62","","","","","","2.79",""
"009626","浦银安盛养老2040三年持有混合(FOF)",,"1.0000","","","","","","","","","0.00",""
"009573","南方养老2045三年持有混合(FOF)",,"1.0602","-0.08","0.19","5.27","","","","","","6.02",""
"009572","南方养老2040三年持有混合(FOF)",,"1.0369","0.01","0.10","3.57","","","","","","3.69",""
"009460","安信禧悦稳健养老一年持有混合(FOF)",,"1.0315","0.72","0.93","2.17","3.15","","","","","3.15",""
"009442","中银养老2040三年持有期混合(FOF)",,"0.9986","","-0.26","","","","","","","-0.14",""
"009385","天弘永裕平衡养老三年持有(FOF)",,"1.0214","0.11","0.78","2.29","","","","","","2.14",""
"009383","人保稳进配置三个月持有(FOF)",,"1.0144","0.20","0.22","1.44","","","","","","1.44",""
"009371","浦银安盛睿和优选3个月持有混合(FOF)C",,"1.0118","0.09","0.45","1.46","","","","","","1.18",""
"009370","浦银安盛睿和优选3个月持有混合(FOF)A",,"1.0129","0.10","0.46","1.56","","","","","","1.29",""
"009355","泰达泰和稳健养老一年(FOF)",,"1.0380","0.13","0.44","1.70","3.69","","","","","3.85",""
"009340","工银养老2055混合(FOF)",,"1.0515","0.29","1.51","9.55","","","","","","5.15",""
"009335","工银稳健养老目标一年持有混合发起(FOF)",,"1.0083","0.13","0.34","","","","","","","0.82",""
"009214","易方达如意安泰(FOF)C",,"1.0086","0.11","0.23","1.19","","","","","","0.86",""
"009213","易方达如意安泰(FOF)A",,"1.0096","0.11","0.24","1.27","","","","","","0.96",""
"009185","农银汇理永乐3月持有(FOF)",,"1.0341","0.16","0.31","1.59","","","","","","3.41",""
"009184","东方红颐和积极养老五年(FOF)",,"1.1133","0.18","0.17","5.88","","","","","","11.33",""
"009183","东方红颐和平衡养老三年(FOF)",,"1.0811","0.14","0.19","3.93","8.11","","","","","8.11",""
"009174","东方红颐和稳健养老两年(FOF)",,"1.0286","0.06","0.03","1.38","","","","","","2.86",""
"009161","上投锦程养老五年混合(FOF)",,"1.2369","0.17","0.15","4.11","18.00","","","","","23.69",""
"009151","国寿策略优选3个月持有混合(FOF)",,"1.0389","0.26","0.61","2.83","","","","","","3.89",""
"009146","新华精选成长3个月混合(FOF)",,"1.2113","0.71","1.41","5.50","18.18","","","","","21.13",""
"009143","上投摩根养老一年混合(FOF)",,"1.0563","0.09","0.21","2.71","5.71","","","","","5.63",""
"009113","浙商汇金卓越优选3个月(FOF)",,"1.1171","1.08","2.18","5.51","11.15","","","","","11.71",""
"009003","中银安康平衡养老三年(FOF)",,"1.0646","0.18","0.72","3.75","5.33","","","","","6.46",""
"008886","民生卓越配置6个月混合(FOF)",,"1.1145","0.39","0.76","2.77","8.82","","","","","11.45",""
"008755","泰康睿福3月持有混合(FOF)C",,"1.2390","0.75","1.61","9.05","19.43","","","","","23.90",""
"008754","泰康睿福3月持有混合(FOF)A",,"1.2440","0.75","1.62","9.21","19.79","","","","","24.40",""
"008753","大成兴享平衡养老三年(FOF)",,"1.0574","0.12","1.05","1.99","","","","","","5.74",""
"008697","交银养老2035三年(FOF)",,"1.2281","0.15","0.48","3.61","19.78","","","","","22.81",""
"008639","中欧预见养老2025一年持有(FOF)",,"1.0428","0.12","0.17","2.13","4.43","","","","","4.28",""
"008631","国泰民泽平衡养老FOF",,"1.0230","0.19","0.55","1.88","","","","","","2.30",""
"008625","国富平衡养老三年混合(FOF)",,"1.1027","0.17","0.46","1.73","10.02","","","","","10.27",""
"008621","天弘永裕稳健养老一年(FOF)",,"1.0580","0.04","0.35","1.40","5.64","","","","","5.80",""
